Date,FB,TWTR,NFLX,portfolio daily worth in $,portfolio daily % return
2016-04-29,805589.722084459,113209.42084168828,629448.5588047886,1548247.7017309358,0.2538933826016096
2016-05-02,812372.6120327358,111505.85910535645,650982.5235004437,1574860.994638536,1.7189299152743118
2016-05-03,804561.9957072125,108485.90875458637,640005.8018709844,1553053.7063327832,-1.384711944736298
2016-05-04,808878.3752369029,114912.9825780201,634762.1450416247,1558553.5028565475,0.3541279030685231
2016-05-05,807165.5207795511,109337.68962275228,624834.1687611218,1541337.3791634252,-1.1046219242116646
2016-05-06,818675.9027329542,111505.85910535645,635111.6872058697,1565293.4490441803,1.554239208404686
2016-05-09,816963.0482756026,109957.16661778203,633014.259431838,1559934.4743252227,-0.34236230415645325
2016-05-10,825595.8484434906,113286.85546606699,649444.3701807468,1588327.0740903043,1.8201148979262975
2016-05-11,818881.4384164186,112977.11696855212,629378.6293973124,1561237.1847822831,-1.7055611372447697
2016-05-12,824088.5296696032,109027.9511252374,613437.9196276014,1546554.400422442,-0.9404582790467343
2016-05-13,820868.3564383644,109182.82037399484,614416.7285775394,1544467.9053898987,-0.13491248881858856
2016-05-16,813057.7401128408,110654.07823719052,623086.2831513353,1546798.1015013666,0.15087371536410432
2016-05-17,804013.8685780242,111041.25135908413,619660.385406899,1534715.5053440074,-0.781135957280493
2016-05-18,806069.3213325174,109492.55887150973,632734.5907427297,1548296.470946757,0.8849174687725144
2016-05-19,800314.1029501444,109569.99349588844,626092.6464001683,1535976.7428462012,-0.7956956779099557
2016-05-20,804013.8685780242,111738.16297849259,646647.7462135458,1562399.7777700624,1.720275716863965
2016-05-23,794558.9325276965,111583.29372973516,663427.455059039,1569569.6813164707,0.45890326204740894
2016-05-24,806411.8579668986,108640.7780033438,684402.0823764775,1599454.71834672,1.904027415029029
2016-05-25,807713.6410573217,111583.29372973516,700552.5314278204,1619849.4662148773,1.2751062993041966
2016-05-26,818538.8949306195,110731.51286156925,718800.4641855344,1648070.8719777232,1.7422239752185862
2016-05-27,817922.2399203017,116926.28281186681,722226.3549384283,1657074.8776705968,0.5463360736464324
2016-05-31,814016.9386089577,117855.49830441148,717122.5079832242,1648994.9448965935,-0.48760215261736284
2016-06-01,813811.4029254934,116306.80581683706,709711.4869808143,1639829.6957231448,-0.5558082031611925
2016-06-02,814839.1224513223,117700.62905565402,707893.6719635512,1640433.4234705274,0.03681649069761232
2016-06-03,811687.477101213,117700.62905565402,696287.6835483988,1625675.7897052658,-0.8996179640158838
2016-06-06,813879.9308066231,118242.67142630505,704327.9713365018,1636450.57356943,0.6627879883797569
2016-06-07,806822.9772937521,116151.93656807962,698385.16725477,1621360.0811166018,-0.922147768869841
2016-06-08,811139.3499720249,115764.76344618601,684192.3500863882,1611096.463504599,-0.633025182471158
2016-06-09,812304.0841516061,113054.55159293083,678808.8274505334,1604167.4631950702,-0.43007979140219893
2016-06-10,799012.3678196466,108563.34337896509,655457.1036699548,1563032.8148685666,-2.564236544517268
